path,wa,channel,datetime,time,date,test
../../tamago_data/2020-12-01/2020-12-01+12-02-00_6.wav,75089,6,2020-12-01 12:02:00,12-02-00,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-02-00_7.wav,87042,7,2020-12-01 12:02:00,12-02-00,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-02-00_4.wav,79494,4,2020-12-01 12:02:00,12-02-00,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-02-00_2.wav,99969,2,2020-12-01 12:02:00,12-02-00,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-02-00_0.wav,90744,0,2020-12-01 12:02:00,12-02-00,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-02-00_5.wav,75854,5,2020-12-01 12:02:00,12-02-00,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_0.wav,88378,0,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_6.wav,73266,6,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_7.wav,84334,7,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_4.wav,78532,4,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_3.wav,91898,3,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_2.wav,96428,2,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_1.wav,98144,1,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-03-34_5.wav,75194,5,2020-12-01 12:03:34,12-03-34,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_0.wav,90467,0,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_1.wav,99820,1,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_2.wav,99425,2,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_7.wav,87128,7,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_4.wav,80130,4,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_5.wav,76285,5,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_6.wav,74647,6,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-05-08_3.wav,94790,3,2020-12-01 12:05:08,12-05-08,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_4.wav,81519,4,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_1.wav,98965,1,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_5.wav,77516,5,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_3.wav,95779,3,2020-12-01 12:06:42,12-06-42,2020/12/01,
../../tamago_data/2020-12-01/2020-12-01+12-06-42_0.wav,89629,0,2020-12-01 12:06:42,12-06-42,2020/12/01,
